"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.000313344471181168,0.684463427748526,0.833,0.867,1,"Treated","SCRT2"
0.000314304652305429,-0.394059681694102,0.95,1,1,"Treated","TRIM52-AS1"
0.000314334925702886,-0.364810503166588,0.983,1,1,"Treated","CPSF1"
0.000315952309572046,-0.622702275041541,0.733,0.867,1,"Treated","ZBTB14"
0.000318547965434048,0.562072923099331,0.933,0.867,1,"Treated","INPP5A"
0.000320285915717001,-0.700907254010306,0.15,0.5,1,"Treated","CNTN5"
0.000320591228391325,0.492429322874559,0.95,0.967,1,"Treated","STAP2"
0.000320737535467449,0.450990533993914,0.967,1,1,"Treated","RIMS3"
0.000320745237169666,-0.369728370210159,0.983,1,1,"Treated","STON2"
0.000320745237169666,0.411235926991049,1,0.983,1,"Treated","SERINC3"
0.000320745237169666,0.245086384485916,1,1,1,"Treated","ETFA"
0.000321614841664981,-0.58091678517386,0.083,0.383,1,"Treated","CHRDL1"
0.000322360831087026,-0.654879996281072,0.3,0.75,1,"Treated","DPP10-AS1"
0.000323724248339494,0.508622983068317,0.95,0.95,1,"Treated","HIVEP2"
0.000324089861327415,-0.660617000697439,0.267,0.683,1,"Treated","CEP112"
0.000324932242822784,0.77158237224347,0.867,0.817,1,"Treated","ZNF781"
0.000325129027982895,-0.752034027640467,0.583,0.85,1,"Treated","MBIP"
0.000326338278801527,0.765218599500734,0.967,0.883,1,"Treated","TMEM189"
0.000326338278801527,0.634790648645127,0.917,0.933,1,"Treated","AC010745.2"
0.000327121039067891,0.596335161406561,0.983,0.933,1,"Treated","TFE3"
0.000327277752823315,-0.136450680575382,1,1,1,"Treated","STOML2"
0.000327277752823315,-0.314021129087053,1,1,1,"Treated","SOX9"
0.000328323678120371,-0.589053293212163,0.517,0.833,1,"Treated","HACL1"
0.000328327079328784,0.878115547243334,0.8,0.717,1,"Treated","CDH23"
0.000330511458700949,0.471120983776911,0.983,0.95,1,"Treated","DNASE2"
0.000330582601209294,0.357819020392903,0.983,0.983,1,"Treated","RGL2"
0.000331822231391052,0.932545630953881,0.75,0.683,1,"Treated","PURG"
0.000332183546480091,0.552694869438042,0.933,0.883,1,"Treated","SLC25A12"
0.000333934618939649,0.374672615518907,0.983,1,1,"Treated","GOLGA3"
0.000333934618939649,-0.374014903381981,0.983,1,1,"Treated","TAF15"
0.000333934618939649,0.335826038663312,1,1,1,"Treated","MAP4K5"
0.000333934618939649,0.222367301850233,1,1,1,"Treated","OGT"
0.00033557033397038,-0.888094997282085,0.45,0.867,1,"Treated","ARHGEF40"
0.000336243056199484,-0.729350317324569,0.417,0.767,1,"Treated","DDIT4L"
0.00034026384797964,-0.433924397411191,0.883,1,1,"Treated","PLCG2"
0.000340555763111173,-0.489808251244735,0.917,1,1,"Treated","TRMT6"
0.000340555763111173,0.545793492942056,0.983,0.933,1,"Treated","NUTM2B-AS1"
0.000340718015733807,0.34263660927645,1,1,1,"Treated","COLGALT2"
0.000340718015733807,0.186015011446756,1,1,1,"Treated","PPA1"
0.000340718015733807,-0.388886846126824,1,1,1,"Treated","FARP1"
0.000341557639794167,-0.668781010197512,0.267,0.667,1,"Treated","HERC5"
0.000341905581829624,-0.570313322372445,0.75,0.9,1,"Treated","TIPIN"
0.000342809287955708,-0.507771716702729,0.85,0.983,1,"Treated","PLPBP"
0.000345505116733518,0.621141817495225,0.883,0.85,1,"Treated","AC012467.2"
0.000345561094385794,-0.609071219443837,0.35,0.75,1,"Treated","MBOAT1"
0.000346269862938378,0.64824160539084,0.933,0.9,1,"Treated","THAP8"
0.000347102298898036,0.517447186393849,0.85,0.817,1,"Treated","FBXO10"
0.000347233645941951,-0.678278206446187,0.5,0.883,1,"Treated","SMC5"
0.000347630157823932,-0.384741864507915,0.983,1,1,"Treated","LMF2"
0.000347866327025541,0.735213345520846,0.9,0.817,1,"Treated","KLF10"
0.000348759318426452,0.566198720016562,0.883,0.917,1,"Treated","EXD2"
0.000348759318426452,0.515979837895249,0.917,0.883,1,"Treated","MAP3K14"
0.000348859036186851,-0.686047085304151,0.733,0.917,1,"Treated","CDH24"
0.000350067296866138,-0.657064959053785,0.067,0.35,1,"Treated","GRAMD1C"
0.000350361636783189,-0.67428872697605,0.333,0.75,1,"Treated","EDA2R"
0.000352828782663952,-0.562020052974763,0.85,0.967,1,"Treated","ZNF700"
0.000352954960998103,1.24601695285636,0.467,0.217,1,"Treated","PTPRU"
0.000354505327398134,0.505375954148674,0.95,0.967,1,"Treated","SERPINF1"
0.000354673294699852,-0.122253311525234,1,1,1,"Treated","SLC25A6"
0.000354673294699852,0.205489502238898,1,1,1,"Treated","MT-CO3"
0.00035708650172037,-0.609743811130471,0.783,0.967,1,"Treated","FUT9"
0.000360168103397385,-0.662201224350444,0.5,0.9,1,"Treated","AC004812.2"
0.000361678819129405,-0.489418395906876,0.933,0.983,1,"Treated","C17orf75"
0.000361849711196764,-0.121066499456382,1,1,1,"Treated","YWHAQ"
0.000361849711196764,-0.162348831885067,1,1,1,"Treated","PSMA6"
0.000361849711196764,0.265852292715182,1,1,1,"Treated","LUC7L"
0.000368590235925244,-0.852958783115975,0.283,0.65,1,"Treated","SLIT2"
0.00036916172797397,0.161716681309801,1,1,1,"Treated","TOP2B"
0.00036916172797397,0.253487409021602,1,1,1,"Treated","MT-ND4"
0.000372611447452123,-0.700002922900449,0.267,0.667,1,"Treated","GFPT2"
0.000375847696788961,-0.754683941772043,0.35,0.75,1,"Treated","PYCR3"
0.000376523254843228,-0.377762266737851,0.933,1,1,"Treated","ASH2L"
0.000376523254843228,0.485596852159458,0.967,0.967,1,"Treated","GMDS"
0.000376611701998689,0.421942037683468,1,1,1,"Treated","CLK3"
0.000378184578618931,0.761897173877186,0.8,0.717,1,"Treated","DISP3"
0.000384166033550749,-0.329116988888444,0.95,1,1,"Treated","ZNF22"
0.00038419302843876,-0.408251404674451,0.967,1,1,"Treated","THAP12"
0.00038742140509841,-0.71184494239702,0.35,0.783,1,"Treated","IGSF10"
0.000391935134137737,0.375022765039035,1,1,1,"Treated","KIAA1549L"
0.000391935134137737,-0.209249859755109,1,1,1,"Treated","HNRNPUL2"
0.000391935134137737,-0.233490708415074,1,1,1,"Treated","MRPL21"
0.000393089407036741,0.870545797164235,0.817,0.733,1,"Treated","LINC00463"
0.000393612323540084,-0.621396589584748,0.283,0.683,1,"Treated","AC092171.5"
0.000394623982411921,-0.498507461497063,0.1,0.417,1,"Treated","GPR135"
0.000395592339577942,0.593595683141836,0.867,0.9,1,"Treated","IGSF8"
0.000396835729309755,-0.593800916732701,0.683,0.933,1,"Treated","AL392172.1"
0.000397446407946534,-0.789765220861191,0.35,0.733,1,"Treated","SLC38A5"
0.000397784957658988,-0.675787813714695,0.15,0.5,1,"Treated","LIMD1-AS1"
0.000399455412406984,1.08919166903447,0.75,0.7,1,"Treated","AC012625.1"
0.000399487656805058,-0.495058848761061,0.9,1,1,"Treated","NUDT11"
0.000399776244271424,-0.387782769054681,0.95,1,1,"Treated","GNB4"
0.000399776244271424,0.425821814736822,1,0.95,1,"Treated","FBXL15"
0.000399776244271424,0.414284728234913,0.983,0.967,1,"Treated","ARMCX1"
0.000399813492151987,-0.356769801542312,0.983,1,1,"Treated","DCLK2"
0.000399813492151987,-0.302069044513933,1,1,1,"Treated","RHOT2"
0.00040218605392459,-0.83947444257637,0.15,0.467,1,"Treated","MAPKAPK3"
0.000402481310498502,-0.621137356485337,0.5,0.85,1,"Treated","ARL13B"
0.000405136788433306,-0.547338684110385,0.833,0.967,1,"Treated","TCF7L2"
0.000405759383837493,-0.546361768100498,0.833,0.983,1,"Treated","RAB23"
0.00040774488868262,-0.473097106318835,0.933,1,1,"Treated","PAX6"
0.000407801718529298,-0.377999657845705,0.95,1,1,"Treated","PPA2"
0.000407801718529298,-0.387449110699406,0.983,0.967,1,"Treated","GK5"
0.000407830135560955,-0.379843505035352,0.967,1,1,"Treated","DCBLD2"
0.000407839608217193,-0.391705053679509,0.983,1,1,"Treated","GOLGA8G"
0.000407839608217193,-0.157475543508268,1,1,1,"Treated","RTRAF"
0.000407839608217193,-0.133403248880955,1,1,1,"Treated","KCNQ2"
0.000409831791751927,-0.883077360780509,0.233,0.583,1,"Treated","AC005696.2"
0.000411574579744131,-0.471130536837381,0.917,0.983,1,"Treated","NUP205"
0.000415662318469651,0.85109061718331,0.833,0.75,1,"Treated","FRMD4B"
0.000415823346557871,0.597092064542855,0.95,0.967,1,"Treated","TRIM66"
0.000416006392687715,0.355912626554195,1,0.967,1,"Treated","ATG9A"
0.000416016028276898,-0.286937932681182,1,1,1,"Treated","EIF4E"
0.000418565485338933,-0.435286981426789,0.283,0.7,1,"Treated","TFAP4"
0.000420064235865201,0.446826803071326,0.983,0.95,1,"Treated","RBM18"
0.000423796726619238,0.523631293943263,0.95,0.933,1,"Treated","DUSP1"
0.000424247334478716,-0.389886314252118,0.933,1,1,"Treated","NSL1"
0.00042430613442373,-0.42679184602115,0.95,1,1,"Treated","PUS1"
0.000424345337593573,-0.379611209111053,0.983,1,1,"Treated","VCAN"
0.000424345337593573,-0.279234997382495,1,1,1,"Treated","QRICH1"
0.000424345337593573,0.228401316170755,1,1,1,"Treated","SPAG9"
0.00043269946140323,-0.674542341107253,0.133,0.467,1,"Treated","MELTF"
0.000433572618410316,-0.668376940110907,0.717,0.85,1,"Treated","CNTNAP3B"
0.000435820715655593,-0.546028608870032,0.817,0.933,1,"Treated","NT5DC1"
0.000437494007545282,-0.494210033484796,0.1,0.417,1,"Treated","AL160313.1"
0.000437793217135545,-0.492127159922108,0.8,0.983,1,"Treated","SFT2D3"
0.000438359572534011,-0.550522774641582,0.683,0.933,1,"Treated","ORAI2"
0.000438448653338306,-0.63091592242622,0.283,0.667,1,"Treated","AFAP1L1"
0.000439246417974333,-0.492720826997678,0.85,0.967,1,"Treated","GEMIN4"
0.000440905601362037,0.574885956380669,0.917,0.967,1,"Treated","LRP1"
0.000441473164768324,0.32527536091762,1,1,1,"Treated","ZFP90"
0.00044187686491443,-0.461917602063156,0.233,0.633,1,"Treated","ZNF808"
0.000442274165361283,-0.657967260692802,0.65,0.917,1,"Treated","PHACTR2"
0.000443302794269245,-0.50383028222919,0.767,0.967,1,"Treated","DUS3L"
0.000443790995945792,-0.554371939199569,0.017,0.233,1,"Treated","LRFN2"
0.000443790995945792,-0.795473045896363,0.017,0.233,1,"Treated","LINC00539"
0.000444293781821614,0.679262364947572,0.8,0.8,1,"Treated","MAPKBP1"
0.000446123768100861,-0.707857888182149,0.467,0.85,1,"Treated","ABHD11"
0.000447955611017555,-0.65221384936337,0.1,0.4,1,"Treated","STAM-AS1"
0.000448871050569482,1.4781455495353,0.383,0.133,1,"Treated","SSTR1"
0.00044889853786435,-0.674723042242593,0.383,0.8,1,"Treated","ABHD15"
0.000450173934335268,0.495154437182811,0.967,0.967,1,"Treated","USP9Y"
0.000450235804405651,-0.346411593716289,0.95,1,1,"Treated","CEP89"
0.000450266741691465,0.352303405669867,0.967,1,1,"Treated","INTS3"
0.000450277054453504,0.379754273387512,0.983,1,1,"Treated","EIF4G3"
0.000450519702046837,-0.404964585138763,0.067,0.35,1,"Treated","MAL2"
0.000450741930718839,-0.562743453893543,0.783,0.933,1,"Treated","SNHG21"
