row_id,mz,rt.min
60291,490.9917,17.4588
70026,298.8182,21.4847
18596,572.371,3.4422
43620,135.0276,11.8755
43297,159.1492,9.6485
57298,362.9818,15.9502
18478,257.1498,5.1227
54551,338.0811,15.5381
71636,175.1187,24.0435
70073,814.5129,21.2688
17556,279.1317,5.3502
55094,358.0292,15.9531
59166,502.9482,16.1652
29768,605.2852,8.2958
28510,55.0178,7.9972
8822,629.4777,3.0807
10779,1326.9037,2.9948
28348,627.2672,8.2728
54677,316.099,15.6689
26346,525.2103,7.7837
44843,487.8698,12.2205
16531,328.1269,4.7649
71996,358.102,22.7685
60438,602.9352,17.4676
14606,814.4686,4.3058
69194,282.8772,21.0276
28475,414.0991,8.4934
70281,752.5426,21.3079
38509,254.1113,10.9111
59919,791.1592,17.2519
42685,975.3838,11.1117
6275,579.1058,2.9059
1987,697.5191,2.8307
2447,995.6224,2.9356
71500,115.0889,22.0123
8278,283.1753,4.6244
42086,529.1687,11.3312
3262,688.5204,3.1112
49629,147.0441,13.7271
42432,1014.3189,11.1446
55629,200.0488,15.6362
29814,344.2278,7.706
5103,1175.7756,2.9712
52738,870.2262,14.7646
71745,162.9103,22.4025
30522,451.1155,8.4269
37620,640.2213,8.4825
69471,388.8038,21.3476
60022,340.9749,16.2271
65427,636.7931,19.1558
38173,425.8874,12.7804
54799,169.0583,15.6795
66705,368.8395,19.7775
3057,129.0182,2.9677
69176,504.8371,19.4004
69217,242.8811,21.1901
61311,723.0782,16.4286
15363,344.2543,3.9237
57582,261.01,16.487
29541,1193.328,8.2794
8475,570.3553,3.4684
43606,365.055,11.8715
59640,448.9833,16.101
17253,701.2886,5.1568
7681,543.146,3.3865
19236,826.5388,3.2404
54441,106.0684,15.5235
71941,357.1689,22.7699
58095,288.9438,17.2684
56232,177.0246,16.1488
58583,494.1126,16.0091
45885,198.9743,14.4955
71646,184.8906,21.8779
16063,732.5535,3.54
72146,297.0473,22.8187
35373,732.1203,9.7476
16880,350.2069,4.541
36367,161.092,11.4555
36909,520.2021,10.2152
39062,456.1444,11.294
70159,576.6484,21.2232
50001,441.0567,13.6665
22866,556.2803,4.1171
59670,240.9702,17.2581
58016,292.0703,16.6436
57512,275.1716,16.4994
43243,522.3556,9.8594
